,Channel_name,Subscribers,Views,Total_videos,playlist_id,channel_id,channel_name,country
0,Toys and Colors,79300000,105714188706,1622,UUgFXm4TI8htWmCyJ6cVPG_A,UCgFXm4TI8htWmCyJ6cVPG_A,Toys and Colors,US
1,Ryan's World,39900000,61995227226,3339,UUhGJGhZ9SOOHvBB0Y4DOO_w,UChGJGhZ9SOOHvBB0Y4DOO_w,Ryan's World,US
2,Goldmines,107000000,30907621953,11721,UUyoXW-Dse7fURq30EWl_CUA,UCyoXW-Dse7fURq30EWl_CUA,Goldmines,IN
3,WWE,110000000,98128324946,87752,UUJ5v_MCY6GNUBTO8-D3XoAg,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,Unknown
4,ช่อง one31,43700000,33055291013,183501,UU8f7MkX4MFOOJ2SerXLInCA,UC8f7MkX4MFOOJ2SerXLInCA,ช่อง one31,TH
5,Sony Music India,67900000,37836640054,7234,UU56gTxNs4f9xZ7Pa2i5xNzg,UC56gTxNs4f9xZ7Pa2i5xNzg,Sony Music India,IN
6,ETV Andhra Pradesh,7730000,5989780212,437380,UUJi8M0hRKjz8SLPvJKEVTOg,UCJi8M0hRKjz8SLPvJKEVTOg,ETV Andhra Pradesh,IN
7,Sony SAB,103000000,134390122996,102938,UU6-F5tO8uklgE9Zy8IvbdFw,UC6-F5tO8uklgE9Zy8IvbdFw,Sony SAB,IN
8,T-Series,303000000,311911926199,24353,UUq-Fj5jknLsUf-MWSy4_brA,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,IN
9,WorkpointOfficial,43200000,41983058536,107190,UU3ZkCd7XtUREnjjt3cyY_gg,UC3ZkCd7XtUREnjjt3cyY_gg,WorkpointOfficial,TH
10,HYBE LABELS,78500000,41323071705,2757,UU3IZKseVpdzPSBaWxBxundA,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,KR
11,GMA Network,40000000,34962084203,209175,UUKL5hAuzgFQsyrsQKgU0Qng,UCKL5hAuzgFQsyrsQKgU0Qng,GMA Network,PH
12,SET India,186000000,181628180999,160170,UUpEhnqL0y41EpW2TvWAHD7Q,UCpEhnqL0y41EpW2TvWAHD7Q,SET India,IN
13,ToyPuddingTV,27600000,16694719702,2417,UUKqx9r4mrFglauNBJc1L_eg,UCKqx9r4mrFglauNBJc1L_eg,ToyPuddingTV,KR
14,Like Nastya Show,44500000,21762709726,844,UUS94J1s6-qc8v7btCdS2pNg,UCS94J1s6-qc8v7btCdS2pNg,Like Nastya Show,US
15,netd müzik,26900000,51665258787,19555,UUR5wZcXtOUka8jTA57flzMg,UCR5wZcXtOUka8jTA57flzMg,netd müzik,TR
16,Zee Telugu,17200000,16177269450,218667,UU3PYGKK29qJ0zu-eEthHK4g,UC3PYGKK29qJ0zu-eEthHK4g,Zee Telugu,IN
17,Inside Edition,13700000,25320363490,38587,UU9k-yiEpRHMNVOnOi_aQK8w,UC9k-yiEpRHMNVOnOi_aQK8w,Inside Edition,US
18,Ch3Thailand,36400000,25234804719,89657,UU48h7Dst_hX82HxOf3xJw_w,UC48h7Dst_hX82HxOf3xJw_w,Ch3Thailand,TH
19,Infobells - Hindi,71100000,44368320281,830,UU1ciY6kR3yj3kaKZ6R7ewAg,UC1ciY6kR3yj3kaKZ6R7ewAg,Infobells - Hindi,IN
20,Like Nastya,130000000,116134933858,983,UUJplp5SjeGSdVdwsfb9Q7lQ,UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,US
21,WaveMusic,4840000,2718845692,2445,UUbuK8xxu2P_sqoMnDsoBrrg,UCbuK8xxu2P_sqoMnDsoBrrg,WaveMusic,US
22,Zee Marathi,12000000,14440116489,178023,UU82o9tQyo_cJhtyoFi-ROEw,UC82o9tQyo_cJhtyoFi-ROEw,Zee Marathi,IN
23,Zee TV,94500000,109379853735,220550,UUppHT7SZKKvar4Oc9J4oljQ,UCppHT7SZKKvar4Oc9J4oljQ,Zee TV,IN
24,El Reino Infantil,70100000,69121156904,1922,UUK1i2UviaXLUNrZlAFpw_jA,UCK1i2UviaXLUNrZlAFpw_jA,El Reino Infantil,AR
25,XXXTENTACION,42300000,12041267207,137,UUM9r1xn6s30OnlJWb-jc3Sw,UCM9r1xn6s30OnlJWb-jc3Sw,XXXTENTACION,US
26,Zé Neto e Cristiano,16000000,15194517934,600,UURRu9OXVYd5clj2Bs29gUVQ,UCRRu9OXVYd5clj2Bs29gUVQ,Zé Neto e Cristiano,BR
27,Colors TV,81100000,81537346988,285365,UU55IWqFLDH1Xp7iu1_xknRA,UC55IWqFLDH1Xp7iu1_xknRA,Colors TV,IN
28,Vlad and Niki,145000000,112392994918,941,UUvlE5gTbOvjiolFlEm-c_Ow,UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,US
29,Ozuna,37800000,27325748043,263,UUjIA3wwhi0QjSOXAZwOXbPA,UCjIA3wwhi0QjSOXAZwOXbPA,Ozuna,PR
30,Zee Music Company,120000000,81480438404,14819,UUFFbwnve3yF62-tVXkTyHqg,UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,IN
31,CKN ,19300000,13683560459,492,UUfaZw8XH_zmAVkBst_MPD6w,UCfaZw8XH_zmAVkBst_MPD6w,CKN ,AU
32,WORLDSTARHIPHOP,27500000,21994069801,7334,UU-yXuc1__OzjwpsJPlxYUCQ,UC-yXuc1__OzjwpsJPlxYUCQ,WORLDSTARHIPHOP,US
33,RedeTV,13600000,5815618768,50953,UUd7VVhgnd2eCv9JEghvR_1w,UCd7VVhgnd2eCv9JEghvR_1w,RedeTV,BR
34,Shemaroo Filmi Gaane,73300000,33443710487,9597,UUP6uH_XlsxrXwZQ4DlqbqPg,UCP6uH_XlsxrXwZQ4DlqbqPg,Shemaroo Filmi Gaane,IN
35,Manorama News,10200000,12032785780,541623,UUP0uG-mcMImgKnJz-VjJZmQ,UCP0uG-mcMImgKnJz-VjJZmQ,Manorama News,IN
36,Bouncing Baby TV,4790000,375077251,44,UUKRavtVhYBxTzigyGVLPPZQ,UCKRavtVhYBxTzigyGVLPPZQ,Bouncing Baby TV,US
37,Cocomelon - Nursery Rhymes,197000000,208186897881,1707,UUbCmjCuTUZos6Inko4u57UQ,UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,US
38,Badabun,47600000,20054903583,27029,UUYWOjHweP2V-8kGKmmAmQJQ,UCYWOjHweP2V-8kGKmmAmQJQ,Badabun,MX
39,Canal KondZilla,67900000,39717547232,3423,UUffDXn7ycAzwL2LDlbyWOTw,UCffDXn7ycAzwL2LDlbyWOTw,Canal KondZilla,BR
40,Zee Bangla,20200000,16147739597,186709,UUeMsqI6jU9WE2ctsrbxbywQ,UCeMsqI6jU9WE2ctsrbxbywQ,Zee Bangla,IN
41,GRAMMY GOLD OFFICIAL,21700000,25830786322,8665,UUFWsjsN53Sqvg2pWhSFmWBQ,UCFWsjsN53Sqvg2pWhSFmWBQ,GRAMMY GOLD OFFICIAL,TH
42,5-Minute Crafts,81000000,28272083789,7827,UU295-Dw_tDNtZXFeAPAW6Aw,UC295-Dw_tDNtZXFeAPAW6Aw,5-Minute Crafts,US
43,Speed Records,47600000,33913600173,12571,UUOsyDsO5tIt-VZ1iwjdQmew,UCOsyDsO5tIt-VZ1iwjdQmew,Speed Records,IN
44,ABS-CBN Entertainment,53700000,58163914085,249177,UUstEtN0pgOmCf02EdXsGChw,UCstEtN0pgOmCf02EdXsGChw,ABS-CBN Entertainment,PH
45,Movieclips,65000000,66961818015,43276,UU3gNmTGu-TTbFPpfSs5kNkg,UC3gNmTGu-TTbFPpfSs5kNkg,Movieclips,US
46,GR6 EXPLODE,42600000,30317966596,3408,UUNUQK9mQoqi4yNXw2_Rj6SA,UCNUQK9mQoqi4yNXw2_Rj6SA,GR6 EXPLODE,BR
47,MGR PRODUCTION,2390000,1498375177,7369,UU2wil2nkrsKkI-0F7jmTLeQ,UC2wil2nkrsKkI-0F7jmTLeQ,MGR PRODUCTION,EG
48,Doggy Doggy Cartoons,16400000,6542785908,4845,UU_W0_Nv-3rxpWVvosddhrPw,UC_W0_Nv-3rxpWVvosddhrPw,Doggy Doggy Cartoons,ES
49,LazarBeam,23200000,9931711229,1216,UUw1SQ6QRRtfAhrN_cjkrOgA,UCw1SQ6QRRtfAhrN_cjkrOgA,LazarBeam,AU
50,Pencilmation,20200000,11831868580,1891,UUUAL--p3qAa27luR0IYbjZA,UCUAL--p3qAa27luR0IYbjZA,Pencilmation,US
51,Aditya Music,35800000,35591544667,28539,UUNApqoVYJbYSrni4YsbXzyQ,UCNApqoVYJbYSrni4YsbXzyQ,Aditya Music,IN
52,T-Series Bhakti Sagar,78900000,42336332436,30748,UUaayLD9i5x4MmIoVZxXSv_g,UCaayLD9i5x4MmIoVZxXSv_g,T-Series Bhakti Sagar,IN
53,Baby Shark - Pinkfong Kids’ Songs & Stories,83100000,51816431385,3654,UUcdwLMPsaU2ezNSJU1nFoBQ,UCcdwLMPsaU2ezNSJU1nFoBQ,Baby Shark - Pinkfong Kids’ Songs & Stories,US
54,SMTOWN,33400000,32230334844,4612,UUEf_Bc-KVd7onSeifS3py9g,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,Unknown
55,✿ Kids Diana Show,136000000,119002407134,1422,UUk8GzjMOrta8yxDcKfylJYw,UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,US
56,1theK (원더케이),25000000,26932570127,21856,UUweOkPb1wVVH0Q0Tlj4a5Pw,UCweOkPb1wVVH0Q0Tlj4a5Pw,1theK (원더케이),Unknown
57,LooLoo Kids - Nursery Rhymes and Children's Songs,60800000,38600839538,1043,UU4NALVCmcmL5ntpV0thoH6w,UC4NALVCmcmL5ntpV0thoH6w,LooLoo Kids - Nursery Rhymes and Children's Songs,US
58,hairong zheng,1980,0,0,UUN3TByJL442xVqMvi3YwYUQ,UCN3TByJL442xVqMvi3YwYUQ,hairong zheng,Unknown
59,CVS 3D Rhymes & Kids Songs,38200000,23967034729,339,UUsPF3cApzCohxPp5oKdoWSQ,UCsPF3cApzCohxPp5oKdoWSQ,CVS 3D Rhymes & Kids Songs,Unknown
60,Shemaroo Movies,38000000,10526565762,3682,UUBOmfqgTZi7yDp4-3Lr_3lA,UCBOmfqgTZi7yDp4-3Lr_3lA,Shemaroo Movies,IN
61,ChuChu TV Nursery Rhymes & Kids Songs,97500000,56592653628,946,UUBnZ16ahKA2DZ_T5W0FPUXg,UCBnZ16ahKA2DZ_T5W0FPUXg,ChuChu TV Nursery Rhymes & Kids Songs,IN
62,YRF,69100000,51710751198,4682,UUbTLwN10NoCU4WDzLf1JMOA,UCbTLwN10NoCU4WDzLf1JMOA,YRF,IN
63,الـريماس - Al-Remas,18300000,12428519973,2338,UUVrstuGnHjpUXr9G98wwKow,UCVrstuGnHjpUXr9G98wwKow,الـريماس - Al-Remas,IQ
64,POPS Kids,19600000,14774314781,4084,UU5ezaYrzZpyItPSRG27MLpg,UC5ezaYrzZpyItPSRG27MLpg,POPS Kids,VN
